Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2
0.2,No Cross Validation (Random Search),"{'subsample': 0.8, 'min_child_weight': 4, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-02 22:10:53,2024-06-02 22:12:47,114.73043131828308,1.6506703409282801,6.0914174655759945,2.468079712160042,0.6632384444420647
0.2,Sklearn cross_val_score (Random Search),"{'subsample': 0.8, 'min_child_weight': 4, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-02 22:10:53,2024-06-02 22:12:47,114.73043131828308,2.604339392949277,12.022631559292996,3.4323570897640314,0.2956947922051777
0.2,xgb.cv (Random Search),"{'subsample': 0.8, 'min_child_weight': 4, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-02 22:10:53,2024-06-02 22:12:47,114.73043131828308,1.6756658978479693,5.880531406908679,2.4249807023786145,0.6634657600554701
0.25,No Cross Validation (Random Search),"{'subsample': 0.6, 'min_child_weight': 2, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-02 22:13:29,2024-06-02 22:14:46,76.41997027397156,1.7421576934015408,6.159490850359693,2.48183215596053,0.6480810672887127
0.25,Sklearn cross_val_score (Random Search),"{'subsample': 0.6, 'min_child_weight': 2, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-02 22:13:29,2024-06-02 22:14:46,76.41997027397156,2.615610901513228,12.082381755953968,3.4438801576482208,0.2886526308527627
0.25,xgb.cv (Random Search),"{'subsample': 0.6, 'min_child_weight': 2, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-02 22:13:29,2024-06-02 22:14:46,76.41997027397156,1.7324410867201316,6.160994117625994,2.482134991821757,0.6474152879717487
0.3,No Cross Validation (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-02 22:16:10,2024-06-02 22:17:49,99.2100076675415,1.6994478571870415,6.260886784343246,2.502176409516972,0.6255983903982902
0.3,Sklearn cross_val_score (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-02 22:16:10,2024-06-02 22:17:49,99.2100076675415,2.5563998200929103,11.92933813714297,3.41939174530649,0.3001643686088709
0.3,xgb.cv (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-02 22:16:10,2024-06-02 22:17:49,99.2100076675415,1.6973738345685205,6.004953709869282,2.4505007059515984,0.6563452530363593
0.35,No Cross Validation (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-02 22:18:43,2024-06-02 22:20:15,92.06773233413696,1.7273284112087397,6.511511136140198,2.551766277726116,0.5978106080105448
0.35,Sklearn cross_val_score (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-02 22:18:43,2024-06-02 22:20:15,92.06773233413696,2.5563998200929103,11.92933813714297,3.41939174530649,0.3001643686088709
0.35,xgb.cv (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-02 22:18:43,2024-06-02 22:20:15,92.06773233413696,1.6973738345685205,6.004953709869282,2.4505007059515984,0.6563452530363593
