Column,Method,Lower Bound,Upper Bound,Outlier Count
Year,IQR,-1.5000776154539166,1.8179438775058183,259
Year,Z-Score,-3.0006680770598195,3.0006680770598497,0
N2O,IQR,-0.49116251409163025,0.16656048778475377,251
N2O,Z-Score,-3.0006680770598346,3.0006680770598346,32
N_rate,IQR,-1.0779839589300377,1.4167630495778085,283
N_rate,Z-Score,-3.0006680770598346,3.0006680770598346,0
PP2,IQR,-1.413238469955815,0.9720010907151231,244
PP2,Z-Score,-3.000668077059835,3.000668077059835,47
PP7,IQR,-2.143729876001432,1.8093635305770643,114
PP7,Z-Score,-3.000668077059835,3.000668077059835,38
AirT,IQR,-2.915639289714311,3.041334596267059,4
AirT,Z-Score,-3.000668077059835,3.000668077059835,3
DAF_TD,IQR,-3.2807190100238106,3.2210707468314217,17
DAF_TD,Z-Score,-3.000668077059835,3.000668077059835,24
DAF_SD,IQR,-3.439341474409693,3.4197714319523747,0
DAF_SD,Z-Score,-3.000668077059835,3.000668077059835,28
WFPS25cm,IQR,-3.366874786040335,3.399894557046042,0
WFPS25cm,Z-Score,-3.000668077059835,3.000668077059835,0
NH4,IQR,-1.1907262876242701,0.7479441910552906,215
NH4,Z-Score,-3.0006680770598346,3.0006680770598346,24
NO3,IQR,-1.5906059028509298,1.0849090265648047,200
NO3,Z-Score,-3.000668077059835,3.000668077059835,66
Clay,IQR,-3.181133199928526,2.890735380760965,0
Clay,Z-Score,-3.000668077059835,3.000668077059835,0
Sand,IQR,-1.694841184759036,2.2917327321579894,385
Sand,Z-Score,-3.000668077059836,3.000668077059836,0
SOM,IQR,-1.5019054071822089,0.7905299413325299,482
SOM,Z-Score,-3.0006680770598346,3.0006680770598355,0
Outlier,IQR,1.0,1.0,113
Outlier,Z-Score,-0.4124391116829792,2.211192450952792,113
