Date,Year,Experiment,DataUse,Replication,Month,Vegetation,VegType,N2O,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,Sand,SOM
2/9/12,0.020682235485961927,BCSE_KBS,Building,R1,February,Corn,Annual,-0.12540830872050326,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,-1.5186171938423534,0.5568554112198295,0.2946756026761878,0.7883498629838763,-0.030656136828456373,-0.08246060974184848,-0.904182482169967,0.7967675133141049,-0.6422421514891818
2/10/12,0.020682235485961927,BCSE_KBS,Building,R1,February,Corn,Annual,-0.18532436582009132,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,-1.560775536984472,0.5637575234882534,0.30167469747859804,0.6376161233553809,-0.033551492202004166,-0.08170804789945983,-0.904182482169967,0.7967675133141049,-0.6422421514891818
2/18/12,0.020682235485961927,BCSE_KBS,Building,R1,February,Corn,Annual,-0.1378424193971729,0.4812329213873661,-0.19080319511195928,-0.4471377399016166,-1.2762067207751708,0.6189744216356439,0.35766745589788024,1.1467133183819649,-0.04690450514976099,-0.07118718040768388,-0.904182482169967,0.7967675133141049,-0.6422421514891818
2/19/12,0.020682235485961927,BCSE_KBS,Building,R1,February,Corn,Annual,-0.1448547542676896,0.4812329213873661,-0.5187736347042132,-0.4686402744297206,-1.7083297379818874,0.6258765339040677,0.3646665507002905,0.9068635325869608,-0.04553278200556816,-0.06918005474363427,-0.904182482169967,0.7967675133141049,-0.6422421514891818
3/16/12,0.020682235485961927,BCSE_KBS,Building,R1,March,Corn,Annual,-0.15872640771388144,0.4812329213873661,-0.41740095337569844,-0.45767819800362836,0.5471416201214624,0.8053314528830868,0.5466430155629576,1.0776679957541608,-0.09435592297685712,-0.031689233176608905,-0.904182482169967,0.7967675133141049,-0.6422421514891818
3/17/12,0.020682235485961927,BCSE_KBS,Building,R1,March,Corn,Annual,-0.18686100361418942,0.4812329213873661,-0.41740095337569844,-0.45767819800362836,0.7052354069044074,0.8122335651515107,0.5536421103653679,1.022450227008759,-0.10203357617193164,-0.02413077087821962,-0.904182482169967,0.7967675133141049,-0.6422421514891818
3/30/12,0.020682235485961927,BCSE_KBS,Building,R1,March,Corn,Annual,-0.20591686639109297,0.4812329213873661,-0.5187736347042132,0.6983992466250233,-1.0759545908501071,0.9019610246410202,0.6446303427967015,1.0684415855398197,-0.14528649028505275,0.013431593389798066,-0.904182482169967,0.7967675133141049,-0.6422421514891818
3/31/12,0.020682235485961927,BCSE_KBS,Building,R1,March,Corn,Annual,-0.2622229075406686,0.4812329213873661,0.1123209990566391,-0.5116453434859287,-0.9600191472092806,0.908863136909444,0.6516294375991117,1.0494950172249553,-0.1439470109227629,0.015763508479484694,-0.904182482169967,0.7967675133141049,-0.6422421514891818
4/17/12,0.020682235485961927,BCSE_KBS,Building,R1,April,Corn,Annual,-0.2173656166148171,0.4812329213873661,4.454450849294693,1.330405114421649,-0.5911336447157423,1.0261990454726488,0.7706140492400864,1.1352466231600076,-0.16816822199177398,0.04065094435824868,-0.904182482169967,0.7967675133141049,-0.6422421514891818
4/20/12,0.020682235485961927,BCSE_KBS,Building,R1,April,Corn,Annual,-0.19405945367835212,0.4812329213873661,-0.2911820266235279,1.4164152525340656,-0.18008979908008516,1.0469053822779204,0.7916113336473172,1.0891869349032082,-0.1594610384646734,0.03911249557003824,-0.904182482169967,0.7967675133141049,-0.6422421514891818
5/5/12,0.020682235485961927,BCSE_KBS,Building,R1,May,Corn,Annual,-0.10770938387828506,0.4812329213873661,-0.16496309987135743,0.39905023652788885,0.1782561176279237,1.1504370663042776,0.8965977556834713,1.45607002637267,-0.19375578224132753,0.07732291479771705,-0.904182482169967,0.7967675133141049,-0.6422421514891818
5/6/12,0.020682235485961927,BCSE_KBS,Building,R1,May,Corn,Annual,-0.1533320020483414,0.4812329213873661,-0.3925547079520428,0.19540858599702124,0.2836519754832204,1.1573391785727014,0.9035968504858816,1.3945286997159934,-0.20093925784944433,0.08095314543932389,-0.904182482169967,0.7967675133141049,-0.6422421514891818
5/7/12,0.020682235485961927,BCSE_KBS,Building,R1,May,Corn,Annual,-0.183308062549715,0.4812329213873661,-0.5187736347042132,0.10982006620868572,0.11501860291474572,1.164241290841125,0.9105959452882918,1.4232195431898476,-0.20146878249308905,0.08571334171201794,-0.904182482169967,0.7967675133141049,-0.6422421514891818
5/8/12,0.020682235485961927,BCSE_KBS,Building,R1,May,Corn,Annual,-0.17549606050303385,0.4812329213873661,-0.31702212186412976,-0.5542287942180563,0.12555818870027535,1.171143403109549,0.9175950400907021,1.1512461323242873,-0.11055804493491596,0.13970694699067165,-0.904182482169967,0.7967675133141049,-0.6422421514891818
5/9/12,0.020682235485961927,BCSE_KBS,Building,R1,May,Corn,Annual,-0.2622229075406686,0.4812329213873661,-0.31702212186412976,-0.5542287942180563,0.02016233084497864,-1.341225462596719,0.9245941348931124,0.8734268489139979,-0.03789100569458281,0.18157442537282933,-0.904182482169967,0.7967675133141049,-0.6422421514891818
5/13/12,0.020682235485961927,BCSE_KBS,Building,R1,May,Corn,Annual,-0.176103609939584,0.4812329213873661,-0.3925547079520428,-0.6722819249605881,0.2731123896976908,-1.3136170135230238,0.9525905141027535,1.1671813448519972,0.2631456464581384,0.3603468424835057,-0.904182482169967,0.7967675133141049,-0.6422421514891818
5/18/12,0.020682235485961927,BCSE_KBS,Building,R1,May,Corn,Annual,-0.1881347156121293,0.4812329213873661,-0.5187736347042132,-0.7578704447489237,0.5366020343359326,-1.2791064521809048,0.9875859881148048,0.749605267319638,0.5405302735510262,0.5833796889353705,-0.904182482169967,0.7967675133141049,-0.6422421514891818
5/29/12,0.020682235485961927,BCSE_KBS,Building,R1,May,Corn,Annual,-0.2622229075406686,0.4812329213873661,-0.5187736347042132,-0.6402389323304724,1.1057396667545347,-1.2031832172282428,1.064576030941318,0.5285372635193989,0.24934712435479373,0.7782197384973234,-0.904182482169967,0.7967675133141049,-0.6422421514891818
5/30/12,0.020682235485961927,BCSE_KBS,Building,R1,May,Corn,Annual,-0.2965089778819501,0.4812329213873661,-0.5187736347042132,-0.6402389323304724,0.3047311470542799,-1.196281104959819,1.071575125743728,0.48823906138170725,0.216900645625761,0.7591213262421265,-0.904182482169967,0.7967675133141049,-0.6422421514891818
5/31/12,0.020682235485961927,BCSE_KBS,Building,R1,May,Corn,Annual,-0.3026789259056329,0.4812329213873661,-0.5187736347042132,-0.6402389323304724,-0.25386689957879277,-1.1893789926913951,1.0785742205461384,0.4876970735588388,0.21997258490348578,0.7352597100334202,-0.904182482169967,0.7967675133141049,-0.6422421514891818
6/4/12,0.020682235485961927,BCSE_KBS,Building,R1,June,Corn,Annual,-0.1452014972529862,0.4812329213873661,-0.5187736347042132,0.5592651996784677,0.5366020343359326,-1.1617705436177,1.1065705997557795,0.9448410556423101,0.1394874882065056,0.6680376026858615,-0.904182482169967,0.7967675133141049,-0.6422421514891818
6/5/12,0.020682235485961927,BCSE_KBS,Building,R1,June,Corn,Annual,-0.23885758053325065,0.4812329213873661,-0.5187736347042132,0.5592651996784677,0.29419156126875007,-1.154868431349276,1.1135696945581897,0.8514689248119799,0.11012664857802491,0.6431883844046566,-0.904182482169967,0.7967675133141049,-0.6422421514891818
6/6/12,0.020682235485961927,BCSE_KBS,Building,R1,June,Corn,Annual,-0.24739249740107339,0.4812329213873661,-0.5187736347042132,0.5592651996784677,0.4733645196227544,-1.1479663190808522,1.1205687893606,0.79856780205975,0.06790402169321888,0.6184732284829908,-0.904182482169967,0.7967675133141049,-0.6422421514891818
6/7/12,0.020682235485961927,BCSE_KBS,Building,R1,June,Corn,Annual,-0.23459531063752231,0.4812329213873661,-0.5187736347042132,0.5592651996784677,0.6946958211188776,-1.1410642068124284,1.1275678841630103,0.773253463166339,0.02337740250530476,0.5907488678544528,-0.904182482169967,0.7967675133141049,-0.6422421514891818
