Date,Year,Experiment,DataUse,Replication,Month,Vegetation,VegType,N2O,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,Sand,SOM,IF_Outlier
6/27/13,0.29718402656593984,BCSE_KBS,Building,R1,June,Corn,Annual,3.082487156996998,0.4812329213873661,4.04995397379758,1.1267634638907817,1.158437595682183,-0.9892177369071046,-1.287119822668534,1.0359376151722526,1.7632996974334003,1.0777678138105762,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
4/1/14,0.5736858176459178,BCSE_KBS,Building,R1,April,Corn,Annual,2.057339128080619,0.4812329213873661,-0.5187736347042132,-0.5546504125421368,-0.5700544731446829,0.9295694737147154,0.658628532401522,0.8490697146659661,-0.08602674219055187,-0.13783679013761949,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
4/2/14,0.5736858176459178,BCSE_KBS,Building,R1,April,Corn,Annual,2.2607634532118164,0.4812329213873661,-0.16496309987135743,-0.4150947472715008,-0.791385774640806,0.9364715859831393,0.6656276272039323,0.8097673092907179,-0.09102643602373067,-0.13559225600164931,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
6/20/14,0.5736858176459178,BCSE_KBS,Building,R1,June,Corn,Annual,4.821019084136557,0.4812329213873661,2.738072215428564,0.5702272761045601,0.5998395490491107,-1.0651409718597664,-1.3781080550998674,0.8692150472188133,0.642945913709633,0.1252442504990986,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
6/21/14,0.5736858176459178,BCSE_KBS,Building,R1,June,Corn,Annual,3.7204834023573152,0.4812329213873661,0.0874747536329835,0.8274144537936473,0.6419978921912293,-1.0582388595913428,-1.3711089602974573,1.0536258945220431,1.0869299378292476,0.2919255073144601,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
6/22/14,0.5736858176459178,BCSE_KBS,Building,R1,June,Corn,Annual,5.769523036215487,0.4812329213873661,0.28922626647306715,0.9130029735819829,1.063581323612416,-1.051336747322919,-1.364109865495047,1.0201571032985817,1.4776873359822909,0.4981205774144103,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
6/23/14,0.5736858176459178,BCSE_KBS,Building,R1,June,Corn,Annual,2.0923123640308092,0.4812329213873661,-0.31702212186412976,0.9130029735819829,0.8317104363307635,-1.044434635054495,-1.3571107706926366,1.1516303414095008,1.89565944572688,0.5871483817479402,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
6/24/14,0.5736858176459178,BCSE_KBS,Building,R1,June,Corn,Annual,6.069934009381752,0.4812329213873661,1.904232219010681,1.9409084476901717,0.9792646373281787,-1.0375325227860712,-1.3501116758902265,1.230724783351328,2.212838380785647,0.6720317816807188,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
6/25/14,0.5736858176459178,BCSE_KBS,Building,R1,June,Corn,Annual,8.07548230393362,0.4812329213873661,3.5202320213652425,2.626459842645018,0.8844083652584118,-1.0306304105176474,-1.3431125810878162,1.1431713683009035,2.47483240972334,0.7354635800365602,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
6/26/14,0.5736858176459178,BCSE_KBS,Building,R1,June,Corn,Annual,5.037570135783898,0.4812329213873661,1.0972261676503474,1.2448165946333138,0.8633291936873525,-1.0237282982492237,-1.3361134862854058,1.02309356557533,2.650273859393907,0.7974918531706571,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
6/27/14,0.5736858176459178,BCSE_KBS,Building,R1,June,Corn,Annual,2.734995791526317,0.4812329213873661,-0.5187736347042132,1.2448165946333138,1.0530417378268864,-1.0168261859807999,-1.3291143914829957,0.8568130276617212,2.4257967081171494,0.7984411827088025,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
6/29/14,0.5736858176459178,BCSE_KBS,Building,R1,June,Corn,Annual,5.047226200220513,0.4812329213873661,2.5363207025884797,2.1980956253792585,1.3059917966795986,-1.0030219614439522,-1.315116201878175,0.8646526911822165,2.209955671656475,0.6777331688848458,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
6/30/14,0.5736858176459178,BCSE_KBS,Building,R1,June,Corn,Annual,2.4629257255332955,0.4812329213873661,2.5363207025884797,2.1980956253792585,1.3059917966795986,-0.9961198491755284,-1.308117107075765,0.8339009046753325,1.945421137868113,0.6341079358993724,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
7/1/14,0.5736858176459178,BCSE_KBS,Building,R1,July,Corn,Annual,3.399363810617507,0.4812329213873661,-0.3925547079520428,1.2237356784292903,1.0108833946847677,-0.9892177369071046,-1.3011180122733546,0.9911105202880087,1.829655986972141,0.5648164480038141,-0.904182482169967,0.7967675133141049,-0.6422421514891818,-1
3/22/2010,-0.5323213466739939,Arlington WI,Building,R2,March,Corn,Annual,3.5607293967772824,0.24957784202592326,-0.31702212186412976,-0.7152869940167962,-0.9737206087304693,0.6189744216356439,0.6026357739822398,1.1475254840204772,0.6478757652204441,1.8497234001710254,1.2014862285246286,-1.8581630959658224,2.2941875333399,-1
6/14/2010,-0.5323213466739939,Arlington WI,Building,R3,June,Corn,Annual,2.8056607677999117,1.2474766454290618,-0.44324104861630026,0.8590358280996826,0.5155228627648732,-1.2998127889861761,-1.3431125810878162,1.8804591561852368,16.71546509819215,6.206349341216604,1.578620922977392,-1.8581630959658224,1.7350236550439952,-1
6/14/2010,-0.5323213466739939,Arlington WI,Building,R4,June,Corn,Annual,20.56053476363953,1.2474766454290618,-0.44324104861630026,0.8590358280996826,0.5155228627648732,-1.2998127889861761,-1.3431125810878162,1.8804591561852368,16.577821050526936,6.5316543830473375,1.70433248779498,-1.8353739920235055,2.073464949685873,-1
6/28/2010,-0.5323213466739939,Arlington WI,Building,R1,June,Corn,Annual,7.5564228990310776,1.2474766454290618,0.49097777931315056,2.2832625268435143,0.7358002056824434,-1.2031832172282428,-1.2451252538540722,1.1329281587104136,5.977111779572046,6.922464535690404,1.8300440526125676,-1.8125848880811886,1.484871392980838,-1
6/28/2010,-0.5323213466739939,Arlington WI,Building,R2,June,Corn,Annual,11.122721106415895,0.24957784202592326,0.49097777931315056,2.2832625268435143,0.7358002056824434,-1.2031832172282428,-1.2451252538540722,1.5152271148174206,9.36315535213634,1.434335304864806e-16,1.2014862285246286,-1.8581630959658224,2.2941875333399,-1
6/28/2010,-0.5323213466739939,Arlington WI,Building,R3,June,Corn,Annual,1.9703728117811155,1.2474766454290618,0.49097777931315056,2.2832625268435143,0.7358002056824434,-1.2031832172282428,-1.2451252538540722,1.74733719531096,0.2024145798329352,1.4455711181101638,1.578620922977392,-1.8581630959658224,1.7350236550439952,-1
